Key,English
bladesSkillMagazineDT,Knife Guy
clubsSkillMagazineDT,Big Hitters
knucklesSkillMagazineDT,Furious Fists
sledgehammersSkillMagazineDT,Get Hammered
spearsSkillMagazineDT,Sharp Sticks
roboticsSkillMagazineDT,Tech Planet
explosivesSkillMagazineDT,Explosive Magazine
medicalSplintDesc,"Moon's little helper.\nHeals a broken arm or leg but does not protect against further injury.\nUse the secondary action to treat another player."

zombieArlene,Moonlunaplays
zombieArleneFeral,Feral Moonlunaplays
zombieArleneRadiated,Radiated Moonlunaplays
zombieArleneCharged,Charged Moonlunaplays
zombieBiker,Zilox
zombieBikerFeral,Feral Zilox
zombieBikerRadiated,Radiated Zilox
zombieBikerInfernal,Infernal Zilox
zombieBoe,w00kien00kie
zombieBoeFeral,Feral w00kien00kie
zombieBoeRadiated,Radiated w00kien00kie
zombieBoeCharged,Charged w00kien00kie
zombieBoeInfernal,Infernal w00kien00kie
zombieBowler,Frilioth
zombieBowlerFeral,Feral Frilioth
zombieBowlerRadiated,Radiated Frilioth
zombieBowlerInfernal,Infernal Frilioth
zombieBurnt,Jagz_1
zombieBurntFeral,Feral Jagz_1
zombieBurntRadiated,Radiated Jagz_1
zombieBurntCharged,Charged Jagz_1
zombieBurntInfernal,Infernal Jagz_1
zombieBusinessMan,LobitoGamingTV
zombieBusinessManFeral,Feral LobitoGamingTV
zombieBusinessManRadiated,Radiated LobitoGamingTV
zombieBusinessManCharged,Charged LobitoGamingTV
zombieBusinessManInfernal,Infernal LobitoGamingTV
zombieDarlene,Lumun
zombieDarleneFeral,Feral Lumun
zombieDarleneRadiated,Radiated Lumun
zombieDarleneCharged,Charged Lumun
zombieDarleneInfernal,Infernal Lumun
zombieFatCop,Frantic_Dan
zombieFatCopFeral,Feral Frantic_Dan
zombieFatCopRadiated,Radiated Frantic_Dan
zombieFatCopInfernal,Infernal Frantic_Dan
zombieFatHawaiian,VinyardRages
zombieFatHawaiianFeral,Feral VinyardRages
zombieFatHawaiianRadiated,Radiated VinyardRages
zombieFatHawaiianInfernal,Infernal VinyardRages
zombieFemaleFat,More2Me4Life
zombieFemaleFatFeral,Feral More2Me4Life
zombieFemaleFatRadiated,Radiated More2Me4Life
zombieFemaleFatInfernal,Infernal More2Me4Life
zombieJanitor,HellsJanitor
zombieJanitorFeral,Feral HellsJanitor
zombieJanitorRadiated,Radiated HellsJanitor
zombieJanitorCharged,Charged HellsJanitor
zombieJanitorInfernal,Infernal HellsJanitor
zombieJoe,Glock9
zombieJoeFeral,Feral Glock9
zombieJoeRadiated,Radiated Glock9
zombieJoeCharged,Charged Glock9
zombieLab,Kualija
zombieLabFeral,Feral Kualija
zombieLabRadiated,Radiated Kualija
zombieLabCharged,Charged Kualija
zombieLumberjack,JonahBirch
zombieLumberjackFeral,Feral JonahBirch
zombieLumberjackRadiated,Radiated JonahBirch
zombieLumberjackInfernal,Infernal JonahBirch
zombieMaleHazmat,MidnightDesigner
zombieMaleHazmatFeral,Feral MidnightDesigner
zombieMaleHazmatRadiated,Radiated MidnightDesigner
zombieMaleHazmatCharged,Charged MidnightDesigner
zombieMaleHazmatInfernal,Infernal MidnightDesigner
zombieMarlene,Misterri
zombieMarleneFeral,Feral Misterri
zombieMarleneRadiated,Radiated Misterri
zombieMarleneCharged,Charged Misterri
zombieMoe,Fat Carl
zombieMoeFeral,Feral Fat Carl
zombieMoeRadiated,Radiated Fat Carl
zombieMoeInfernal,Infernal Fat Carl
zombieMutated,Joutre_
zombieMutatedFeral,Feral Joutre_
zombieMutatedRadiated,Radiated Joutre_
zombieMutatedCharged,Charged Joutre_
zombieMutatedInfernal,Infernal Joutre_
zombieNurse,RambunctiousRed
zombieNurseFeral,Feral RambunctiousRed
zombieNurseRadiated,Radiated RambunctiousRed
zombieNurseCharged,Charged RambunctiousRed
zombieInmate,JeansGamingYT
zombieInmateFeral,Feral JeansGamingYT
zombieInmateRadiated,Radiated JeansGamingYT
zombieInmateCharged,Charged JeansGamingYT
zombieInmateInfernal,Infernal JeansGamingYT
zombiePartyGirl,WaywardEko
zombiePartyGirlFeral,Feral WaywardEko
zombiePartyGirlRadiated,Radiated WaywardEko
zombiePartyGirlCharged,Charged WaywardEko
zombieScreamer,KimmyTot
zombieScreamerFeral,Feral KimmyTot
zombieScreamerRadiated,Radiated KimmyTot
zombieScreamerCharged,Charged KimmyTot
zombieSkateboarder,sphereII
zombieSkateboarderFeral,Feral sphereII
zombieSkateboarderRadiated,Radiated sphereII
zombieSkateboarderCharged,Charged sphereII
zombieSkateboarderInfernal,Infernal sphereII
zombieSoldier,Shadow_Floodlight
zombieSoldierFeral,Feral Shadow_Floodlight
zombieSoldierRadiated,Radiated Shadow_Floodlight
zombieSoldierInfernal,Infernal Shadow_Floodlight
zombieSpider,JynxdGinger79 
zombieSpiderFeral,Feral JynxdGinger79 
zombieSpiderRadiated,Radiated JynxdGinger79 
zombieSpiderCharged,Charged JynxdGinger79 
zombieSpiderInfernal,Infernal JynxdGinger79 
zombieSteve,NotOnly25
zombieSteveFeral,Feral NotOnly25
zombieSteveRadiated,Radiated NotOnly25
zombieSteveCharged,Charged NotOnly25
zombieSteveCrawler,GGBliss
zombieSteveCrawlerFeral,Feral GGBliss
zombieTomClark,AnneikaTheJammyBrit
zombieTomClarkFeral,Feral AnneikaTheJammyBrit
zombieTomClarkRadiated,Radiated AnneikaTheJammyBrit
zombieTomClarkCharged,Charged AnneikaTheJammyBrit
zombieUtilityWorker,Cran5000
zombieUtilityWorkerFeral,Feral Cran5000
zombieUtilityWorkerRadiated,Radiated Cran5000
zombieUtilityWorkerCharged,Charged Cran5000
zombieUtilityWorkerInfernal,Infernal Cran5000
zombieYo,YubiNashi
zombieYoFeral,Feral YubiNashi
zombieYoRadiated,Radiated YubiNashi
zombieYoCharged,Charged YubiNashi
zombieYoInfernal,Infernal YubiNashi
zombieWightFeral,Tyrant - Mr.X
zombieWightRadiated,Radiated Tyrant - Mr.X
zombieWightCharged,Charged Tyrant - Mr.X
zombieWightInfernal,Infernal Tyrant - Mr.X
animalZombieDog,AuroraGiggleFairy

loadingTipDishong1,"All seed crafting is unlocked by default, and some seeds only require a couple of food items to make. There are SOME usuable farmplots in the tower ..."
loadingTipDishong1_title,Seeds
loadingTipDishong2,"Almost every zombie will drop a loot bag once dead, and specific zombies will have a chance to drop specific loot."
loadingTipDishong2_title,Zombie Loot
loadingTipDishong3,"Skill magazines can be found in their usual places, and certain zombies have a chance to give certain magazines in their loot bag."
loadingTipDishong3_title,Skill Magazines
loadingTipDishong4,"Loot respawn is integral to completing this challenge. Loot will automatically restock after a certain period of time, determined by the 'Loot Respawn' number you set before starting the game."
loadingTipDishong4_title,Looting
loadingTipDishong5,"Zombies can now be set to respawn after a time you decide. Check the 'Dishong' tab on the main menu, and set the number of days you want between zombies respawning in the tower."
loadingTipDishong5_title,Zombie respawns
loadingTipDishong6,"Resources are scarce in the tower, but you will be able to find or craft everything you need to complete the challenge. Some resources, like old cash, can be used in recipes - so make sure you check the recipes for EVERYTHING. Also, some of the rarer resources, like acid, can now be crafted. It can also be looted from zombies - along with antibiotics and beakers."
loadingTipDishong6_title,Resources
loadingTipDishong7,"Crafting workstations, and tools like the crucible, and vehicles themselves, take fewer magazines to read before they unlock."
loadingTipDishong7_title,Crafting
loadingTipDishong8,"Trying to leave the tower other than by gyrocopter is a very bad idea ..."
loadingTipDishong8_title,Cheating
loadingTipDishong9,"Certain in-game functions, like zombie health bars and XP pop-ups, can be enabled or disabled from the pause menu. Pause the game, click 'video' then the 'Customization' tab."
loadingTipDishong9_title,Customization
loadingTipDishong10,"Thanks to w00kien00kie for the custom code, Khelldon for the custom menu, Frantic_Dan for ideas & xpath help, Zilox, Midnight Designer, SphereII, and Pitchsilent for the original base mod and concept."
loadingTipDishong10_title,Special Thanks
loadingTipDishong11,"Horde nights CAN be disabled from the main menu if you wish, or, if you'd rather have more choice, the 'Avoid Bloodmoon' injection can be crafted."
loadingTipDishong11_title,Horde Night
loadingTipDishong12,"There are many changes from vanilla for resource gathering. Clay soil, for example, can be found by harvesting potted plants, farm plots, and destroyed stone"
loadingTipDishong12_title,Tower Resources
loadingTipDishong13,"You can lock slots in your inventory by hovering over a slot and pressing 'X'. The slot will have a green border, indicating it is locked."
loadingTipDishong13_title,Locked Slots
loadingTipDishong14,"Keep it repaired. Look after your wrench, and your wrench will look after you."
loadingTipDishong14_title,Wrench

challengeDTCQuest,Starting Off
challengeGroupAccessoriesReward,"Gyrocopter Basics"
challengeGroupChassisReward,"Gyrocopter Assembly"
challengeGroupGyrocopterReward,Gyrocopter
challengeGroupEscapeReward,Escape!

challengeGroupBasics,The Dishong Tower Challenge
challengeGroupAccessories,Gather Parts for Gyrocopter Accessories
challengeGroupChassis,Gather Parts for Gyrocopter Chassis
challengeGroupGyrocopter,Gather Remaining Parts to Assemble Gyrocopter
challengeGroupEscape,Escape the Tower!!
challengegatherResourcesGyroCopterAccessories,"Assemble Accessories"
challengegatherResourcesGyroCopterAccessoriesShort,"Assemble the gyrocopter accessories"
challengegatherResourcesGyroCopterAccessoriesDesc,"In your workbench, craft the Gyrocopter accessories."
challengegatherResourcesGyroCopterAccessories1,Electrical Parts
challengegatherResourcesGyroCopterAccessories1Short,Gather Electrical Parts
challengegatherResourcesGyroCopterAccessories1Desc,Gather the electrical parts required.\n\nUse your [00ff00]wrench[-] to harvest [FFFF00]electrical[-] and [FFFF00]mechanical[-] items.
challengegatherResourcesGyroCopterAccessories2,Headlights
challengegatherResourcesGyroCopterAccessories2Short,Gather Headlights
challengegatherResourcesGyroCopterAccessories2Desc,Gather the headlights required.\n\nUse your [00ff00]wrench[-] on [FFFF00]projectors[-] and [FFFF00]worklights[-].
challengegatherResourcesGyroCopterAccessories3,Short Pipes
challengegatherResourcesGyroCopterAccessories3Short,Gather Short Pipes
challengegatherResourcesGyroCopterAccessories3Desc,"Gather the short pipes required.\n\nPipes can be harvested from [FFFF00]sinks[-], [FFFF00]toilets[-], and [FFFF00]water fountains[-], among other things.\n\nThey can also be crafted at the [00FF00]forge[-]."
challengegatherResourcesGyroCopterAccessories4,Mechanical Parts
challengegatherResourcesGyroCopterAccessories4Short,Gather Mechanical Parts
challengegatherResourcesGyroCopterAccessories4Desc,"Gather the mechanical parts required.\n\nUse your [00ff00]wrench[-] on [FFFF00]office chairs[-] and various other [FFFF00]mechanical items[-]."
challengegatherResourcesGyroCopterAccessories5,Springs
challengegatherResourcesGyroCopterAccessories5Short,Gather Springs
challengegatherResourcesGyroCopterAccessories5Desc,"Gather the springs required.\n\nUse your [00ff00]wrench[-] on [FFFF00]beds[-] and various other [FFFF00]mechanical items[-]."

challengeCraftGyroCopterAccessoriesHint1,"In your [00FF00]Workbench [-], assemble the [FFFF00]Gyrocopter Accessories[-]"
gatherResourcesGyroCopterAccessories1Hint1,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]electrical devices[-]."
gatherResourcesGyroCopterAccessories1Hint2,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-]to harvest [FFFF00]projectors[-] and [FFFF00]worklights[-]."
gatherResourcesGyroCopterAccessories1Hint3,"Use your [00FF00]Stone Axe [-][FFB400][action:local:Primary][-] to harvest [FFFF00]sinks[-]. Your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] can be used on [FFFF00]sinks[-] and other items."
gatherResourcesGyroCopterAccessories1Hint4,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]office chairs[-], [FFFF00]filing cabinets[-], and [FFFF00]mechanical devices[-]."
gatherResourcesGyroCopterAccessories1Hint5,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]beds[-] and some [FFFF00]electrical devices[-]."

challengeGyroCopterAccessories,"Assemble the parts"
challengeGyroCopterAccessoriesShort,"Assemble the Gyrocopter accessories"
challengeGyroCopterAccessoriesDesc,"At a workbench, craft the gyrocopter accessories"

challengeGatherResourcesGyroCopterChassis,"Assemble Chassis"
challengeGatherResourcesGyroCopterChassisShort,"Assemble the gyrocopter chassis"
challengeGatherResourcesGyroCopterChassisDesc,"In your workbench, craft the Gyrocopter chassis."
challengeGatherResourcesGyroCopterChassis1,Forged Steel
challengeGatherResourcesGyroCopterChassis1Short,Gather Forged Steel
challengeGatherResourcesGyroCopterChassis1Desc,"Gather or craft the Forged Steel required.\n\nUse your [00ff00]wrench[-] on [FFFF00]broken vending machines[-] to harvest, or use your [00FF00]Forge[-] with a [00FF00]crucible[-] to craft it."
challengeGatherResourcesGyroCopterChassis2,Mechanical Parts
challengeGatherResourcesGyroCopterChassis2Short,Gather Mechanical Parts
challengeGatherResourcesGyroCopterChassis2Desc,"Gather the mechanical parts required.\n\nUse your [00ff00]wrench[-] on [FFFF00]office chairs[-] and various other [FFFF00]mechanical[-] items."
challengeGatherResourcesGyroCopterChassis3,Duct Tape
challengeGatherResourcesGyroCopterChassis3Short,Gather Duct Tape
challengeGatherResourcesGyroCopterChassis3Desc,"Gather the duct tape required.\n\nMake [FFFF00]glue[-] in the [00FF00]campfire or chemistry station[-], and gather [FFFF00]cloth[-] to make [FFFF00]tape[-]."
challengeGatherResourcesGyroCopterChassis4,Leather
challengeGatherResourcesGyroCopterChassis4Short,Gather Leather
challengeGatherResourcesGyroCopterChassis4Desc,"Harvest or gather the leather required.\n\nMost [FFFF00]animals[-] can be butchered for [FFFF00]leather[-], and it can be harvested from [FFFF00]office chairs[-], or the [FFFF00]office chairs[-] can be picked up and scrapped."
challengeGatherResourcesGyroCopterChassis5,Electrical Parts
challengeGatherResourcesGyroCopterChassis5Short,Gather Electrical Parts
challengeGatherResourcesGyroCopterChassis5Desc,Gather the electrical parts required.\n\nUse your [00FF00]wrench[-] to harvest [FFFF00]electrical[-] and [FFFF00]mechanical[-] items.

challengeCraftGyroCopterChassisHint1,"In your [00FF00]Workbench [-], assemble the [FFFF00]Gyrocopter Chassis[-]"
challengeGatherResourcesGyroCopterChassisHint1,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]broken vending machines[-]. [FFFF00]Steel [-] can also be crafted in your [00FF00]Forge [-] with a [00FF00]Crucible [-] tool."
challengeGatherResourcesGyroCopterChassisHint2,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]office chairs[-], [FFFF00]filing cabinets[-], and [FFFF00]mechanical devices[-]."
challengeGatherResourcesGyroCopterChassisHint3,"In your [00FF00]Campfire [-], make [FFFF00]glue[-] from [FFFF00]water[-] and [FFFF00]bones[-]. Harvest [FFFF00]cloth[-] from [FFFF00]fabric blinds[-] and [FFFF00]curtains[-], among other things."
challengeGatherResourcesGyroCopterChassisHint4,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]office chairs[-], or butcher [FFFF00]animals[-] with your [00FF00]knife[-]."
challengeGatherResourcesGyroCopterChassisHint5,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]electrical devices[-]."

challengeGyroCopterChassis,"Assemble the parts"
challengeCraftGyroCopterChassisShort,"Assemble the Gyrocopter chassis"
challengeCraftGyroCopterChassisDesc,"At a workbench, craft the gyrocopter chassis"

challengeGatherResourcesGyroCopter,"Gather Remaining Resources"
challengeGatherResourcesGyroCopterShort,"Gather the remaining items to assemble the Gyrocopter"
challengeGatherResourcesGyroCopterDesc,"Gather or craft the wheels, engine and battery for the gyrocopter"

challengeGatherResourcesGyroCopter1,Accessories
challengeGatherResourcesGyroCopter1Short,Gather Accessories
challengeGatherResourcesGyroCopter1Desc,Grab the crafted [FFFF00]gyrocopter accessories[-].
challengeGatherResourcesGyroCopter2,Chassis
challengeGatherResourcesGyroCopter2Short,Gather Chassis
challengeGatherResourcesGyroCopter2Desc,Grab the crafted [FFFF00]gyrocopter chassis[-].
challengeGatherResourcesGyroCopter3,Wheels
challengeGatherResourcesGyroCopter3Short,Gather Wheels
challengeGatherResourcesGyroCopter3Desc,Loot or craft [FFFF00]vehicle wheels[-].
challengeGatherResourcesGyroCopter4,Engine
challengeGatherResourcesGyroCopter4Short,Gather Engine
challengeGatherResourcesGyroCopter4Desc,Gather the engine required.\n\nUse your [00FF00]wrench[-] on [FFFF00]cement mixers[-] - there are [00FF00]two[-] mixers in the tower.
challengeGatherResourcesGyroCopter5,Battery
challengeGatherResourcesGyroCopter5Short,Gather Battery
challengeGatherResourcesGyroCopter5Desc,"Gather the car battery required.\n\nUse your [00FF00]wrench[-] on [FFFF00]Tablesaws[-]. There is also a chance to get batteries from [FFFF00]worklights[-].\n\nBatteries can also be crafted at a [00FF00]chemistry station[-]."

challengeGatherResourcesGyroCopterHint1,Grab the crafted [FFFF00]gyrocopter accessories[-].
challengeGatherResourcesGyroCopterHint2,Grab the crafted [FFFF00]gyrocopter chassis[-].
challengeGatherResourcesGyroCopterHint3,Loot or craft vehicle wheels. Check the [FFFF00]recipe[-] for wheels for required ingredients.
challengeGatherResourcesGyroCopterHint4,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]cement mixers[-]."
challengeGatherResourcesGyroCopterHint5,"Use your [00FF00]Wrench [-][FFB400][action:local:Secondary][-] to harvest [FFFF00]tablesaws[-]."
challengeCraftGyroCopterHint1,"In your [00FF00]Workbench [-], assemble the [FFFF00]Gyrocopter[-]"

challengeCraftGyroCopter,"Assemble Vehicle"
challengeCraftGyroCopterShort,"Assemble the Gyrocopter"
challengeCraftGyroCopterDesc,"Time to get the hell out of this place!\n\nBuild the gyrocopter, fill it with gas, and head for the (relative) safety of the trader ..."


resourcePaper,"Chinese Takeout Menu"
resourcePaperDesc,"'Chicken' Fried 'Rice'\n'Fresh' 'Egg' Rolls\nGeneral MD's Chicken\nDeep-fried wontons with hot cream cheese and crab\n\n$2 Tuesday Buffet!\n*Zombies Eat Free on Tuesdays"
tutorialTipQuest01,"Welcome to the Dishong Tower Challenge.\n\nFight your way up the top of the tower, looting and crafting everything you need to craft a gyrocopter to make your escape from the top. \nFailure is not an option. \n\nRULES:\n1: All [cd5c5c]DEFAULT[-] player blockdamage, zombie block damage, XP gain etc. Loot percentage should be [cd5c5c]no higher[-] than [cd5c5c]100%[-].\n2: You may set loot percentage [cd5c5c]LOWER[-] than [cd5c5c]100%[-], you may set enemy block damage [cd5c5c]HIGHER[-] than [cd5c5c]100%[-], player block damage [cd5c5c]LOWER[-] than [cd5c5c]100%[-].\nYou may set your loot respawn time, bloodmoon interval, difficulty, run speeds and such to whatever you please.\n3: You [cd5c5c]must[-] enter the Dishong Tower [cd5c5c]immediately[-] (being on the front porch counts as being in) and [cd5c5c]cannot leave[-] thereafter.\n4: The rubble on the ground around the tower is [cd5c5c]NOT[-] part of the tower, and as such may [cd5c5c]NOT[-] be used to support any structures, or to grow any crops, unless you can do this [cd5c5c]WITHOUT[-] touching it. \n5: You may build bridges off the side of the building to reach things, but those bridges [cd5c5c]must support themselves and cannot touch the ground.[-]\n6: You may [cd5c5c]not[-] mine or dig under the building.\n5: If you die, the [cd5c5c]GAME IS OVER[-].\n7: You must survive until you are able to build a gyrocopter and fly to the safety of the trader compound.\n\nYou have [cd5c5c]ONE[-] life. Make it count."
tutorialTipQuest01_title,Started The Dishong Tower Challenge

quest_whiteRiverCitizen1_hint1,[FFB400]Escape the Dishong Tower![-]
quest_whiteRiverCitizen1_hint2,[FFB400]Fly! Fly, my pretty!! Trader Jen is your salvation!![-]
quest_WhiteRiverCitizen1_description,"Good Job Survivor!\n\nNo idea how you did it, but somehow you've pulled it off - impressive!\n\nThere should be a marker on your map - head over to Jen. She'll take care of you.\n\nCongratulations on getting this far!"
quest_white_river_completion,Quest,Quest Info,,,"Hells sent you, eh? You must be some kind of crazy to take on this challenge, but, you made it!\n\nIf this is your kind of thing, you should check out The Spencer Mansion ... "

challenge_StartingDishongTower,"Do you think you have what it takes?"
challenge_StartingDishongTower_description,"Do you have what it takes to complete the Dishong Tower Challenge? Prove it."
challenge_StartingDishongTower_subtitle,"Prove your worth."
challenge_StartingDishongTower_offer,"So you think you can handle the Dishong Tower Challenge? The worlds gone to hell in a handbasket, and you think you can just leisurely walk in for some fun?\n\nYeh, right."

dishongTowerBundle,Dishong Tower Challenge Starter Items,,
dishongTowerBundleDesc,Starter items for the dishong tower challenge.
quest_DishongTowerChallenge01,"Gather Gyrocopter Accessories 1/4"
quest_DishongTowerChallenge01_offer,"Gather resources for the gyrocopter accessories."
quest_DishongTowerChallenge01_description,"Gather resources for the gyrocopter accessories."
quest_DishongTowerChallenge01_subtitle,"Gather resources for the gyrocopter accessories."


quest_DishongTowerChallenge02,"Gather Gyrocopter Chassis 2/4"
quest_DishongTowerChallenge02_offer,"Gather resources for the gyrocopter chassis."
quest_DishongTowerChallenge02_description,"Gather resources for the gyrocopter chassis."
quest_DishongTowerChallenge02_subtitle,"Gather resources for the gyrocopter chassis."

quest_DishongTowerChallenge03,"Gather Gyrocopter Parts 3/4"
quest_DishongTowerChallenge03_offer,"Gather all the parts to craft a gyrocopter, and craft the gyrocopter."
quest_DishongTowerChallenge03_description,"Gather all the parts to craft a gyrocopter, and craft the gyrocopter."
quest_DishongTowerChallenge03_subtitle,"Craft the gyrocopter."

quest_DishongTowerChallenge04,"Gather Gyrocopter Parts 4/4"
quest_DishongTowerChallenge04_offer,"Fly! Fly, my pretty!! Trader Jen is your salvation!!"
quest_DishongTowerChallenge04_description,"Escape the Dishong Tower!"
quest_DishongTowerChallenge04_subtitle,"Escape the Tower!"

Challenge_Completion,"You made it!!"
Challenge_Completion_offer,"Challenge complete!"
Challenge_Completion_description,"Congratulations on escaping the Tower!"
Challenge_Completion_subtitle,"Congratulations!"

Quest_Completion_tip_title,Completed The Dishong Tower Challenge
Quest_Completion_tip,"[FFFF00]Congratulations! [-]\n\n[008000]You have successfully completed the Dishong Tower challenge! [-]\n\n[FF0000]Want another challenge? \n\nTry The Spencer Mansion Incident![-]"
